Det gjennomfoeres kvalitetskontroll av luftkvalitetsdata.QC-flagg viser hvilket nivaa av kvalitetskontroll dataene har vaert gjennom.QC=1 (Raadata) QC = 2(Automatisk kontrollerte data) QC= 3(Skalerte data) QC= 4(Kvalitetssikrede data / Godkjente data);;;;;;;
Ved kvalitetskontroll flagges verdier som gyldige eller ugyldige(f.eks ved instrumentfeil).QA = 0(Gyldig verdi) QA = 1(Ugyldig verdi);;;;;;;
Data er hentet fra loesningen https://luftkvalitet.nilu.no ;;;;;;;
Fra-tid;Til-tid;Elgeseter PM10 µg/m³;QA;QC;Elgeseter NO2 µg/m³;QA;QC
01.01.2018 00:00;01.01.2018 01:00;53,1;0;4;;1;4
01.01.2018 01:00;01.01.2018 02:00;87,1;0;4;;1;4
01.01.2018 02:00;01.01.2018 03:00;51,3;0;4;;1;4
01.01.2018 03:00;01.01.2018 04:00;1,3;0;4;;1;4
01.01.2018 04:00;01.01.2018 05:00;4,7;0;4;;1;4
01.01.2018 05:00;01.01.2018 06:00;2,2;0;4;;1;4
01.01.2018 06:00;01.01.2018 07:00;-0,1;0;4;;1;4
01.01.2018 07:00;01.01.2018 08:00;0,3;0;4;;1;4
01.01.2018 08:00;01.01.2018 09:00;1,2;0;4;;1;4
01.01.2018 09:00;01.01.2018 10:00;3,7;0;4;;1;4
01.01.2018 10:00;01.01.2018 11:00;4,3;0;4;;1;4
01.01.2018 11:00;01.01.2018 12:00;7,4;0;4;;1;4
01.01.2018 12:00;01.01.2018 13:00;13,4;0;4;;1;4
01.01.2018 13:00;01.01.2018 14:00;22,2;0;4;;1;4
01.01.2018 14:00;01.01.2018 15:00;28,5;0;4;;1;4
01.01.2018 15:00;01.01.2018 16:00;42,9;0;4;;1;4
01.01.2018 16:00;01.01.2018 17:00;36,5;0;4;;1;4
01.01.2018 17:00;01.01.2018 18:00;37,7;0;4;;1;4
01.01.2018 18:00;01.01.2018 19:00;38,1;0;4;;1;4
01.01.2018 19:00;01.01.2018 20:00;30,7;0;4;;1;4
01.01.2018 20:00;01.01.2018 21:00;31,6;0;4;;1;4
01.01.2018 21:00;01.01.2018 22:00;21,6;0;4;;1;4
01.01.2018 22:00;01.01.2018 23:00;13,3;0;4;;1;4
01.01.2018 23:00;02.01.2018 00:00;10,3;0;4;;1;4
02.01.2018 00:00;02.01.2018 01:00;6,5;0;4;;1;4
02.01.2018 01:00;02.01.2018 02:00;4,1;0;4;;1;4
02.01.2018 02:00;02.01.2018 03:00;5,7;0;4;;1;4
02.01.2018 03:00;02.01.2018 04:00;4,9;0;4;;1;4
02.01.2018 04:00;02.01.2018 05:00;2,6;0;4;;1;4
02.01.2018 05:00;02.01.2018 06:00;2;0;4;;1;4
02.01.2018 06:00;02.01.2018 07:00;3,1;0;4;;1;4
02.01.2018 07:00;02.01.2018 08:00;6,3;0;4;;1;4
02.01.2018 08:00;02.01.2018 09:00;7,3;0;4;;1;4
02.01.2018 09:00;02.01.2018 10:00;7,9;0;4;;1;4
02.01.2018 10:00;02.01.2018 11:00;6,1;0;4;;1;4
02.01.2018 11:00;02.01.2018 12:00;7,9;0;4;;1;4
02.01.2018 12:00;02.01.2018 13:00;7,5;0;4;;1;4
02.01.2018 13:00;02.01.2018 14:00;8,4;0;4;;1;4
02.01.2018 14:00;02.01.2018 15:00;6,3;0;4;;1;4
