Det gjennomfoeres kvalitetskontroll av luftkvalitetsdata.QC-flagg viser hvilket nivaa av kvalitetskontroll dataene har vaert gjennom.QC=1 (Raadata) QC = 2(Automatisk kontrollerte data) QC= 3(Skalerte data) QC= 4(Kvalitetssikrede data / Godkjente data)
Ved kvalitetskontroll flagges verdier som gyldige eller ugyldige(f.eks ved instrumentfeil).QA = 0(Gyldig verdi) QA = 1(Ugyldig verdi)
Data er hentet fra loesningen https://luftkvalitet.nilu.no 
Tid;Elgeseter NO µg/m³ Hour;Dekning;Elgeseter NO2 µg/m³ Hour;Dekning;Elgeseter NOx µg/m³ Hour;Dekning;Elgeseter PM10 µg/m³ Hour;Dekning;Elgeseter PM2.5 µg/m³ Hour;Dekning
19.02.2024 00:00;;;;;;;;;;
19.02.2024 01:00;0,9393123295;100;23,6017907933;100;25,0370600327;100;9,703673;100;9,063477;100
19.02.2024 02:00;0,4547096223;100;20,1108486557;100;20,8056449585;100;8,150909;100;7,982103;100
19.02.2024 03:00;0,2782937294;100;15,1902604628;100;15,6154932813;100;6,126629;100;5,810268;100
19.02.2024 04:00;0,3528883008;100;20,2542382355;100;20,793451559;100;6,120955;100;6,487939;100
19.02.2024 05:00;1,4639258926;100;37,2621297655;100;39,4990085294;100;3,120898;100;2,761698;100
19.02.2024 06:00;9,2483975379;100;51,2133062167;100;65,3448576545;100;0,858439;100;0,424489;100
19.02.2024 07:00;8,735539269;100;47,7094377758;100;61,0573417788;100;4,385503;100;4,309158;100
19.02.2024 08:00;39,5417383738;100;62,1974417741;100;122,6172180092;100;7,42161;100;6,382138;100
19.02.2024 09:00;66,1655122356;100;68,0447325974;100;169,1456352934;100;8,050138;100;6,327578;100
19.02.2024 10:00;60,7977351374;100;65,6799327402;100;158,5788720301;100;11,262849;100;8,438344;100
19.02.2024 11:00;45,4611635286;100;57,7549725098;100;127,2196303815;100;15,782772;100;6,834908;100
19.02.2024 12:00;53,4560564756;100;62,454863054;100;144,1357173487;100;16,598501;100;8,134025;100
