Det gjennomfoeres kvalitetskontroll av luftkvalitetsdata.QC-flagg viser hvilket nivaa av kvalitetskontroll dataene har vaert gjennom.QC=1 (Raadata) QC = 2(Automatisk kontrollerte data) QC= 3(Skalerte data) QC= 4(Kvalitetssikrede data / Godkjente data);;;;;;;;;;
Ved kvalitetskontroll flagges verdier som gyldige eller ugyldige(f.eks ved instrumentfeil).QA = 0(Gyldig verdi) QA = 1(Ugyldig verdi);;;;;;;;;;
Data er hentet fra loesningen https://luftkvalitet.nilu.no ;;;;;;;;;;
Tid;Elgeseter NO µg/m³ Day;Dekning;Elgeseter NO2 µg/m³ Day;Dekning;Elgeseter NOx µg/m³ Day;Dekning;Elgeseter PM10 µg/m³ Day;Dekning;Elgeseter PM2.5 µg/m³ Day;Dekning
07.11.2014 00:00;168,91597;100;62,89369525;100;320,9972974;100;;0;;0
08.11.2014 00:00;13,47359668;100;10,88838573;100;31,47604146;100;;0;;0
09.11.2014 00:00;62,64365462;100;32,64488295;100;128,3643872;100;;0;;0
10.11.2014 00:00;50,75912752;100;31,20584239;100;108,7657892;100;;0;;0
11.11.2014 00:00;43,33393914;100;29,87921982;100;96,09347883;100;;0;;0
12.11.2014 00:00;190,1826984;100;51,51441974;100;342,1135829;100;;0;;0
13.11.2014 00:00;49,32824042;96;31,36758963;96;106,741141;96;;0;;0
14.11.2014 00:00;54,36631476;100;28,35871289;100;111,4304418;100;;0;;0
15.11.2014 00:00;26,15481931;100;20,12821591;100;60,09277981;100;;0;;0
16.11.2014 00:00;80,76689224;100;48,93074522;100;172,3425566;100;;0;;0
17.11.2014 00:00;193,6831862;100;73,49465862;100;369,4425671;100;;0;;0
18.11.2014 00:00;159,6408947;100;56,53343391;100;300,464721;100;;0;;0
19.11.2014 00:00;147,2027718;100;45,33426605;100;270,2601013;100;;0;;0
20.11.2014 00:00;123,0435852;96;53,20987021;96;241,2204684;96;;0;;0
21.11.2014 00:00;154,5973867;100;56,21782033;100;292,4426273;100;;0;;0
22.11.2014 00:00;56,5476399;100;37,99596597;100;124,4007597;100;;0;;0
23.11.2014 00:00;42,80793663;100;33,78788689;100;99,19841406;100;;0;;0
24.11.2014 00:00;121,6007688;100;42,11369391;100;227,9196687;100;;0;;0
25.11.2014 00:00;21,68807223;96;26,79669965;96;59,93607402;96;;38;;38
26.11.2014 00:00;147,6475673;100;62,64775214;100;288,2532349;100;20,77750711;100;15,8337591;100
27.11.2014 00:00;234,6708719;100;81,04746721;100;439,6245594;100;26,70245421;100;20,71128149;100
28.11.2014 00:00;172,5263468;100;81,2578827;100;344,8781405;100;23,15104698;100;14,31776599;100
29.11.2014 00:00;91,57414984;100;62,74408022;100;202,6693812;100;19,78446386;100;13,21358575;100
30.11.2014 00:00;102,7385702;100;60,13716417;100;217,1216994;100;23,68739947;100;17,56087073;100
01.12.2014 00:00;251,6933667;100;74,2516304;100;458,8390946;100;26,55693374;100;19,95110362;100
02.12.2014 00:00;31,94702226;96;31,28972288;96;80,10477289;96;6,393435057;100;4,164173127;100
03.12.2014 00:00;14,69360128;100;15,7991788;100;38,25100156;100;8,033311477;96;5,948465331;96
04.12.2014 00:00;104,2525444;100;49,69779712;100;208,995685;100;14,41347294;100;8,679820488;100
05.12.2014 00:00;100,3421098;100;54,09763566;100;207,4203794;100;11,7634471;96;6,650620339;96
06.12.2014 00:00;23,06147837;100;25,27751714;100;60,51545609;100;6,807762921;100;5,286388829;100
07.12.2014 00:00;45,02935917;100;37,53422564;100;106,3390864;100;12,05486995;100;9,499176292;100
