Tid,Elgeseter NO µg/m³ Day,Dekning,Elgeseter NO2 µg/m³ Day,Dekning.1,Elgeseter NOx µg/m³ Day,Dekning.2,Elgeseter PM10 µg/m³ Day,Dekning.3,Elgeseter PM2.5 µg/m³ Day,Dekning.4
2024-02-19,"21,3191164543",100.0,"47,9101577128",100.0,"80,485767655",100.0,"11,6951735417",100.0,"9,1197128333",100.0
2024-02-20,"36,5869443185",100.0,"48,4472750832",100.0,"104,3521260018",100.0,"20,7959708333",100.0,"14,3412741667",100.0
2024-02-21,"28,7099657078",100.0,"43,2290885398",100.0,"87,0979161413",100.0,"11,25747175",100.0,"5,8095014583",100.0
2024-02-22,"8,7846713615",100.0,"16,7959895961",100.0,"30,2189674365",100.0,"4,7800456522",96.0,"0,8983087391",96.0
2024-02-23,"4,4206408797",100.0,"11,082582214",100.0,"17,8373214783",100.0,"1,2194649167",100.0,"0,1688852083",100.0
2024-02-24,"1,9296302057",100.0,"7,3554370985",100.0,"10,3039120528",100.0,"2,4449495417",100.0,"0,01994125",100.0
2024-02-25,"5,3342064048",100.0,"17,1683416209",100.0,"25,3190090074",100.0,"15,1558227083",100.0,"2,1201336667",100.0
2024-02-26,"5,7871994387",100.0,"22,6367174106",100.0,"31,4795581529",100.0,"6,12389525",100.0,"2,299517375",100.0
2024-02-27,"21,4002123851",96.0,"30,5522515561",96.0,"63,2517760805",96.0,"18,6575400833",100.0,"3,1839954583",100.0
2024-02-28,"11,1617192351",100.0,"27,3149691645",100.0,"44,3700761558",100.0,"33,8523092083",100.0,"4,0130461667",100.0
2024-02-29,"2,9076952015",100.0,"10,1098034911",100.0,"14,5527617589",100.0,"23,800175125",100.0,"2,3069452917",100.0
2024-03-01,"5,1918159901",100.0,"11,3082701484",100.0,"19,2413649812",100.0,"10,8385528333",100.0,"1,388791125",100.0
2024-03-02,"11,522412695",100.0,"21,6199376828",100.0,"39,2261842808",100.0,"20,0331215833",100.0,"4,42617125",100.0
2024-03-03,"13,9330059697",100.0,"23,611783852",100.0,"44,9014169736",100.0,"8,5765305833",100.0,"5,0261575",100.0
2024-03-04,"6,8089334176",100.0,"15,4257904979",100.0,"25,82984076",100.0,"19,2461570417",100.0,"7,4995399167",100.0
2024-03-05,"12,6239483034",100.0,"25,4194763321",100.0,"44,7088693397",100.0,"57,8678912083",100.0,"8,1735789583",100.0
2024-03-06,"31,5181162539",100.0,"42,4082242899",100.0,"90,5679059258",100.0,"51,781113",100.0,"8,2173845833",100.0
2024-03-07,"11,9606740455",100.0,"33,8579745223",100.0,"52,1338844638",100.0,"38,7141949583",100.0,"6,660264",100.0
2024-03-08,"13,9529547205",92.0,"29,0721779894",92.0,"50,3922928023",92.0,"19,8960597273",92.0,"8,4881384545",92.0
2024-03-09,"3,4850785365",100.0,"10,8384470555",100.0,"16,1636470592",100.0,"12,1148422917",100.0,"5,1494080417",100.0
2024-03-10,"3,5212171938",100.0,"10,6814119735",100.0,"16,0618318455",100.0,"18,4566809167",100.0,"1,5681920417",100.0
2024-03-11,"12,8135095431",100.0,"31,6494332926",100.0,"51,2284758744",100.0,"38,7356935833",100.0,"5,7449851667",100.0
2024-03-12,"17,782296322",96.0,"39,4056971176",96.0,"66,5770458976",96.0,"48,9522176667",100.0,"8,462979",100.0
2024-03-13,"16,9221234083",100.0,"28,3526176984",100.0,"54,2096222664",100.0,"27,5817571667",100.0,"6,7515127083",100.0
2024-03-14,"16,5388103846",100.0,"22,472762058",100.0,"47,7440643256",100.0,"15,5356105",100.0,"1,7206902917",100.0
2024-03-15,"5,4812862141",100.0,"12,3401858629",100.0,"20,7155911981",100.0,"5,6219055",100.0,"1,7900685417",100.0
2024-03-16,"3,6728107274",100.0,"15,9408380737",100.0,"21,5528928652",100.0,"29,1291644583",100.0,"4,3103204167",100.0
2024-03-17,"3,043024833",100.0,"9,7399050566",100.0,"14,3896470014",100.0,"26,0827892083",100.0,"3,256111625",100.0
2024-03-18,"4,3914454038",100.0,"13,1898912277",100.0,"19,9000198047",100.0,"38,1412753333",100.0,"3,2972676667",100.0
2024-03-19,"11,0146524773",96.0,"19,3366619619",96.0,"36,1670509472",96.0,"52,3425486",83.0,"4,53575335",83.0
2024-03-20,"8,1331067022",100.0,"19,6372404838",100.0,"32,0646275248",100.0,"16,829410625",100.0,"3,0655597083",100.0
2024-03-21,"5,1790516475",100.0,"14,8354334863",100.0,"22,7490244036",100.0,"19,8990449167",100.0,"2,4487012083",100.0
2024-03-22,"10,613551469",100.0,"26,5483953382",100.0,"42,7659019828",100.0,"48,3866857917",100.0,"5,2386494167",100.0
2024-03-23,"5,1699374455",100.0,"16,9931152712",100.0,"24,8927796879",100.0,"28,57265875",100.0,"4,0734385833",100.0
2024-03-24,"4,7781837906",100.0,"13,6583883847",100.0,"20,9594532167",100.0,"15,0841530833",100.0,"3,8051914583",100.0
2024-03-25,"4,4157711156",100.0,"16,1806865833",100.0,"22,927984848",100.0,"24,2206758261",96.0,"4,2482043043",96.0
2024-03-26,"4,3948085143",96.0,"13,3338269403",96.0,"20,0490943501",96.0,"41,7853363333",100.0,"5,9436977917",100.0
2024-03-27,"6,4435895339",100.0,"16,7926902849",100.0,"26,6384950927",100.0,"42,360759",100.0,"5,8547975417",100.0
2024-03-28,"3,6920273898",100.0,"14,7916693014",100.0,"20,433087153",100.0,"46,718845625",100.0,"8,6043884583",100.0
2024-03-29,"2,4114851575",100.0,"7,0130050045",100.0,"10,6977543251",100.0,"6,7594547083",100.0,"3,2869198333",100.0
2024-03-30,"5,1508847358",100.0,"15,278834885",100.0,"23,1493867613",100.0,"36,7485944167",100.0,"5,8749217083",100.0
2024-03-31,"3,4352560741",100.0,"12,6932535494",100.0,"17,9423248306",100.0,"12,459266375",100.0,"3,2494697083",100.0
2024-04-01,"4,1505832103",100.0,"9,5678004393",100.0,"15,9098915846",100.0,"19,2784961667",100.0,"4,947759875",100.0
2024-04-02,"2,9075234729",96.0,"9,3325410222",96.0,"13,7752368888",96.0,"9,0650384583",100.0,"3,38530325",100.0
2024-04-03,"3,4465745887",100.0,"6,7759563172",100.0,"12,0423222887",100.0,"34,21719",100.0,"4,5070197917",100.0
2024-04-04,"2,4288516196",100.0,"6,772631245",100.0,"10,4839165197",100.0,"50,751198625",100.0,"4,9903485833",100.0
2024-04-05,"6,9585052303",100.0,"17,0867473119",100.0,"27,7193433037",100.0,"56,2489252917",100.0,"7,3600884583",100.0
2024-04-06,"3,7591001384",100.0,"12,2997503736",100.0,"18,0436553851",100.0,"35,633869",100.0,"5,5033816667",100.0
2024-04-07,"5,028914948",100.0,"16,1076979992",100.0,"23,7918800397",100.0,"6,58903375",100.0,"2,9334208333",100.0
2024-04-08,"16,4387301363",100.0,"30,7189880745",100.0,"55,8373677227",100.0,"73,1362758333",100.0,"9,336444875",100.0
2024-04-09,"12,8081476487",92.0,"25,1424702766",92.0,"44,7133198838",92.0,"94,0707945",92.0,"9,5293086818",92.0
2024-04-10,"4,5574467087",100.0,"13,3557579521",100.0,"20,3195365231",100.0,"6,35108675",100.0,"1,6159775",100.0
2024-04-11,"8,8375575624",100.0,"21,8375414365",100.0,"35,3413293919",100.0,"5,8898547083",100.0,"2,668984625",100.0
2024-04-12,"11,7210040421",100.0,"25,5395805959",100.0,"43,4492747722",100.0,"33,2021050833",100.0,"6,7559729583",100.0
2024-04-13,"4,3319989165",100.0,"12,1254266013",100.0,"18,7447209457",100.0,"40,2658584167",100.0,"5,132189375",100.0
2024-04-14,"4,2451013234",100.0,"10,0376723773",100.0,"16,5241871995",100.0,"10,3916998333",100.0,"2,7320197083",100.0
2024-04-15,"6,4897614597",100.0,"17,5024332257",100.0,"27,4187887361",100.0,"35,58121325",100.0,"4,064632",100.0
2024-04-16,"9,2002912685",92.0,"21,9231962718",92.0,"35,9812413301",92.0,"91,5231776667",100.0,"9,969560375",100.0
2024-04-17,"8,4988139929",100.0,"20,4045341596",100.0,"33,3907219408",100.0,"40,140334625",100.0,"4,6791315833",100.0
2024-04-18,"4,2722342797",100.0,"11,970089916",100.0,"18,4980638953",100.0,"24,2926827917",100.0,"3,1421169583",100.0
2024-04-19,"2,7774158405",100.0,"8,8190845339",100.0,"13,0629759382",100.0,"22,6939976667",100.0,"2,8877791667",100.0
2024-04-20,"5,7598811625",100.0,"16,0474896329",100.0,"24,8485880491",100.0,"31,70294375",100.0,"4,4643405417",100.0
2024-04-21,"2,1246849579",100.0,"11,1140794431",100.0,"14,3605980588",100.0,"22,681584",100.0,"4,9413941667",100.0
2024-04-22,"8,3563272828",100.0,"19,9523887777",100.0,"32,7208568657",100.0,"39,1113952917",100.0,"5,419792875",100.0
2024-04-23,"10,1206655227",100.0,"17,6412602523",100.0,"33,105637171",100.0,"6,3133856667",100.0,"1,8917955",100.0
2024-04-24,"6,4176953181",100.0,"16,8293923691",100.0,"26,6356308151",100.0,"17,43528425",100.0,"3,4422845833",100.0
2024-04-25,"6,885775934",100.0,"16,530137377",100.0,"27,0516030042",100.0,"34,1389521667",100.0,"4,849967875",100.0
2024-04-26,"7,2202665463",96.0,"15,8902301852",96.0,"26,9227974679",96.0,"25,3779285833",100.0,"3,4721542917",100.0
2024-04-27,"6,2658181819",100.0,"16,4609470919",100.0,"26,0351172738",100.0,"31,8747177917",100.0,"6,4435903333",100.0
2024-04-28,"2,5837971426",100.0,"7,7291116628",100.0,"11,6771536968",100.0,"22,22136125",100.0,"3,79827925",100.0
2024-04-29,"4,4861676203",100.0,"11,8260070545",100.0,"18,6808711784",100.0,"24,8862160417",100.0,"3,068323125",100.0
2024-04-30,"11,9493573372",100.0,"25,302673539",100.0,"43,5612915502",100.0,"41,7368989583",100.0,"6,2104512917",100.0
2024-05-01,"1,9532525645",100.0,"8,5486764406",100.0,"11,5332463592",100.0,"18,6863880833",100.0,"5,544245125",100.0
2024-05-02,"6,709594357",100.0,"19,0998247595",100.0,"29,3520849371",100.0,"39,3223141667",100.0,"7,847903875",100.0
2024-05-03,"5,9705013012",96.0,"18,0258353906",96.0,"27,1487613789",96.0,"40,1036329167",100.0,"9,2272417083",100.0
2024-05-04,"4,1886047303",100.0,"15,5472037606",100.0,"21,9473917885",100.0,"29,391457375",100.0,"7,1507379583",100.0
