Det gjennomfoeres kvalitetskontroll av luftkvalitetsdata.QC-flagg viser hvilket nivaa av kvalitetskontroll dataene har vaert gjennom.QC=1 (Raadata) QC = 2(Automatisk kontrollerte data) QC= 3(Skalerte data) QC= 4(Kvalitetssikrede data / Godkjente data)
Ved kvalitetskontroll flagges verdier som gyldige eller ugyldige(f.eks ved instrumentfeil).QA = 0(Gyldig verdi) QA = 1(Ugyldig verdi)
Data er hentet fra loesningen https://luftkvalitet.nilu.no 
Tid;Elgeseter CO mg/m³ Day;Dekning;Elgeseter NO2 µg/m³ Day;Dekning;Elgeseter NO µg/m³ Day;Dekning;Elgeseter NOx µg/m³ Day;Dekning;Elgeseter PM10 µg/m³ Day;Dekning;Elgeseter PM2.5 µg/m³ Day;Dekning
01.08.2003 00:00;;;;0;;0;;0;;0;;0
02.08.2003 00:00;;;;0;;0;;0;;0;;0
03.08.2003 00:00;;;;0;;0;;0;;0;;0
04.08.2003 00:00;;;;0;;0;;0;;0;;0
05.08.2003 00:00;;;;0;;0;;0;;0;;0
06.08.2003 00:00;;;;0;;0;;0;;0;;0
07.08.2003 00:00;;;;0;;0;;0;;0;;0
08.08.2003 00:00;;;;0;;0;;0;;0;;0
09.08.2003 00:00;;;;0;;0;;0;;0;;0
10.08.2003 00:00;;;;0;;0;;0;;0;;0
11.08.2003 00:00;;;;0;;0;;0;;0;;0
12.08.2003 00:00;;;;0;;0;;0;;0;;0
13.08.2003 00:00;;;;0;;0;;0;;0;;0
14.08.2003 00:00;;;;0;;0;;0;;0;;0
15.08.2003 00:00;;;;0;;0;;0;;0;;0
16.08.2003 00:00;;;;0;;0;;0;;0;;0
17.08.2003 00:00;;;;0;;0;;0;;0;;0
18.08.2003 00:00;;;;0;;0;;0;;0;;0
19.08.2003 00:00;;;;38;;38;;38;;0;;33
20.08.2003 00:00;;;49,7625;100;64,9416666667;100;149,0083333333;100;;38;11,975;100
21.08.2003 00:00;;;45,6333333333;100;63,675;100;142,9041666667;100;41,225;100;13,4791666667;100
22.08.2003 00:00;;;47,7541666667;100;77,0875;100;165,525;100;29,975;100;11,9041666667;100
23.08.2003 00:00;;;22,9041666667;100;17,4125;100;49,4916666667;100;14,6791666667;100;8,3291666667;100
24.08.2003 00:00;;;20,6458333333;100;12,3666666667;100;39,5625;100;12,5791666667;100;6,1833333333;100
25.08.2003 00:00;;;43,5541666667;100;54,3541666667;100;126,65;100;10,9708333333;100;7,5666666667;100
26.08.2003 00:00;;;40,6541666667;100;47,3375;100;112,9333333333;100;10,2;100;6,7083333333;100
27.08.2003 00:00;;;41,7916666667;100;53,0875;100;122,9791666667;100;23,4333333333;100;9,3666666667;100
28.08.2003 00:00;;;42,7541666667;100;42,9458333333;100;108,325;100;27,425;100;9,825;100
29.08.2003 00:00;;;42,9583333333;100;41,9375;100;107,1;100;16,1125;100;8,5375;100
30.08.2003 00:00;;;35,1083333333;100;31,3958333333;100;83,1458333333;100;13,4333333333;100;7,4791666667;100
31.08.2003 00:00;;;26,525;100;21,6875;100;59,6666666667;100;13,2333333333;100;6,8166666667;100
