Det gjennomfoeres kvalitetskontroll av luftkvalitetsdata.QC-flagg viser hvilket nivaa av kvalitetskontroll dataene har vaert gjennom.QC=1 (Raadata) QC = 2(Automatisk kontrollerte data) QC= 3(Skalerte data) QC= 4(Kvalitetssikrede data / Godkjente data)
Ved kvalitetskontroll flagges verdier som gyldige eller ugyldige(f.eks ved instrumentfeil).QA = 0(Gyldig verdi) QA = 1(Ugyldig verdi)
Data er hentet fra loesningen https://luftkvalitet.nilu.no 
Tid;Elgeseter NO µg/m³ Day;Dekning;Elgeseter NO2 µg/m³ Day;Dekning;Elgeseter NOx µg/m³ Day;Dekning;Elgeseter PM10 µg/m³ Day;Dekning;Elgeseter PM2.5 µg/m³ Day;Dekning
01.01.2018 00:00;;0;;0;;0;22,639264407;100;19,5681269528;100
02.01.2018 00:00;;0;;0;;0;8,0801792326;100;5,9145024535;100
03.01.2018 00:00;;58;;58;;58;27,0493727125;100;23,7012665771;100
04.01.2018 00:00;14,7443447748;100;24,4902769328;100;47,0196357487;100;4,5100142507;100;3,1822335694;100
05.01.2018 00:00;36,0560800543;100;34,0433770751;100;89,137067398;100;6,8411306389;100;5,5660926028;100
06.01.2018 00:00;14,700249698;100;24,8400820761;100;47,3020636146;100;6,7703503417;100;4,7538742403;100
07.01.2018 00:00;9,7080188975;100;8,9687559939;100;23,8026088692;100;7,0397906194;100;2,7533402347;100
08.01.2018 00:00;46,0455371993;100;45,4268712674;100;115,7844521079;100;10,8128807514;100;6,0158173028;100
09.01.2018 00:00;63,6942897678;100;60,5791885731;100;157,9040633383;100;17,2387242576;100;15,1565849757;100
10.01.2018 00:00;169,9857856703;100;87,6878808638;100;347,426161368;100;15,8295393757;100;11,6638944986;100
11.01.2018 00:00;144,6185759755;96;76,2294729495;96;297,2066570401;96;14,1184323375;100;10,5918052333;100
12.01.2018 00:00;91,7964494569;100;64,5291472374;100;204,7941220074;100;14,5465745354;100;12,448198;100
13.01.2018 00:00;85,2483380164;100;66,9331050431;100;197,1925655322;100;20,7197847792;100;19,0050935083;100
14.01.2018 00:00;24,7405096723;100;28,0469300377;100;65,850428817;100;5,99891635;100;4,2657420083;100
15.01.2018 00:00;5,679014938;100;8,0914826871;100;16,7690175123;100;6,6068651271;100;2,7355850521;100
16.01.2018 00:00;12,8317987379;100;16,4547306132;100;36,0617190847;100;6,5614595819;100;4,3973684806;100
17.01.2018 00:00;77,3679041438;100;37,442090117;100;155,6602476487;100;;54;;54
18.01.2018 00:00;74,709722314;96;40,4433532809;96;154,5998089767;96;;54;;54
19.01.2018 00:00;152,5852285577;100;70,8522767095;100;304,0025059457;100;33,0749311195;100;26,9451921486;100
20.01.2018 00:00;95,7701148175;100;68,5077889972;100;214,8445244383;100;39,0610274583;100;36,9090935472;100
21.01.2018 00:00;29,8218734203;100;50,9541086107;100;96,5219311969;100;23,9407865403;100;22,4426455694;100
22.01.2018 00:00;110,9552248818;100;73,2097686698;100;242,7493522892;100;29,9351218452;100;26,0527314965;100
23.01.2018 00:00;243,5405204803;100;86,617878028;100;458,747793322;100;31,3224421215;100;23,4480091875;100
24.01.2018 00:00;96,2260631682;100;60,6235865969;100;207,6570111179;100;11,2013257604;100;5,0620729722;100
25.01.2018 00:00;33,2149647782;92;34,0088731451;92;84,7613393262;92;8,4526213796;92;4,1783165273;92
26.01.2018 00:00;15,1535875293;100;19,6276982141;100;42,782379959;100;3,1309132188;100;2,0757903194;100
27.01.2018 00:00;26,5674968824;100;27,4086550641;100;68,0037903004;100;4,8534816736;100;2,9512217021;100
28.01.2018 00:00;48,181577158;100;35,8567358131;100;109,4781857105;100;4,5655270062;100;3,5891630361;100
29.01.2018 00:00;97,4057341562;100;56,1664043136;100;205,0023661043;100;12,2476252066;100;7,4428833506;100
30.01.2018 00:00;33,6874393932;100;43,6083160117;100;95,0827234045;100;6,2112516375;100;4,759978375;100
31.01.2018 00:00;23,5862723577;100;29,554453207;100;65,5942773696;100;3,8251043125;100;2,5590473875;100
01.02.2018 00:00;12,1786690111;96;15,3177306392;96;33,9267368882;96;4,539450275;100;3,0259334792;100
02.02.2018 00:00;75,1845427307;100;55,7754465427;100;170,6574278352;100;24,4541828083;100;16,4684598667;100
03.02.2018 00:00;47,1212159601;100;48,7313139092;100;120,7325318963;100;26,424940682;100;21,6710844097;100
04.02.2018 00:00;41,695796583;100;56,7819295997;100;120,4931067785;100;24,2839667424;100;21,2516358007;100
05.02.2018 00:00;105,9673326242;100;63,0681873861;100;224,9862716358;100;15,1604086583;100;12,0641933521;100
06.02.2018 00:00;92,8603932332;100;64,0229477194;100;205,9136285797;100;17,7774160076;100;14,9882809083;100
07.02.2018 00:00;50,8779179411;100;46,7258646118;100;124,4673232258;100;8,7851139243;100;6,3000129854;100
08.02.2018 00:00;141,5007287276;96;80,3549440948;96;296,5680575906;96;16,4259423181;100;9,7570972875;100
09.02.2018 00:00;24,2786760588;100;33,4632817367;100;70,5610987545;100;7,5721952736;100;6,1890280896;100
10.02.2018 00:00;7,7320475941;100;15,2002143498;100;27,0147830736;100;7,8889766576;100;6,5692598139;100
11.02.2018 00:00;3,5401926814;100;8,248437471;100;13,6578518882;100;6,5785362535;100;5,2643861458;100
12.02.2018 00:00;36,1155114561;100;34,8646206305;100;90,0491221354;100;8,5867784667;100;5,4869694917;100
13.02.2018 00:00;106,708422826;100;61,6093949345;100;224,6598650126;100;17,5118735597;100;11,8866198049;100
14.02.2018 00:00;12,8229813677;100;25,2780304838;100;44,8715460137;100;7,0730667486;100;4,9275974549;100
15.02.2018 00:00;5,7753052702;96;11,4299543802;96;20,2546208329;96;9,5310997195;100;5,5532863903;100
16.02.2018 00:00;25,8053891294;100;30,466526344;100;69,8971609337;100;8,1446760049;100;4,8593213236;100
17.02.2018 00:00;43,8332637699;100;50,0576724165;100;117,0348994569;100;14,3438570618;100;10,4075816035;100
18.02.2018 00:00;45,6116841325;100;52,572736341;100;122,2673896955;100;14,7618369819;100;12,9311001347;100
19.02.2018 00:00;109,7968627538;100;70,1520691611;100;237,9216754489;100;17,3662519264;100;14,1605024445;100
20.02.2018 00:00;78,397465747;100;63,3944423487;100;183,1857700102;100;14,1406472153;100;11,5219185875;100
21.02.2018 00:00;92,2034141362;100;65,8595773943;100;206,7463941944;100;18,8798737097;100;13,2861859403;100
22.02.2018 00:00;109,0475347331;96;62,2939644432;96;228,9185975153;96;18,249607906;92;10,7392985682;92
23.02.2018 00:00;24,8922583351;100;34,8002638138;100;72,8356345498;100;5,9824674014;100;3,706859957;100
24.02.2018 00:00;13,2915861074;100;26,2103519182;100;46,5198954903;100;6,8477649514;100;5,8085297139;100
25.02.2018 00:00;27,7858475806;100;36,2685184084;100;78,7252935115;100;11,2516078472;100;9,9262500208;100
26.02.2018 00:00;65,1652858953;100;62,9003674944;100;162,4729243424;100;15,05490428;100;12,7252018525;100
27.02.2018 00:00;49,5612197121;100;50,0599751957;100;125,7895189158;100;12,5945971042;100;10,0090495347;100
28.02.2018 00:00;76,6599996695;100;58,8821994391;100;176,0186789341;100;19,3752067396;100;13,775583134;100
01.03.2018 00:00;57,992513509;92;67,8198562575;92;156,4324168992;92;28,8488163826;100;19,8294499528;100
02.03.2018 00:00;126,6767616925;100;84,1782147576;100;277,7403066237;100;22,8673780042;100;16,7017975695;100
03.03.2018 00:00;28,735866784;100;51,4936322644;100;95,4020367103;100;15,8652041764;100;14,0033938097;100
04.03.2018 00:00;15,3781582159;100;30,8647838196;100;54,3626095735;100;6,9916273181;100;5,7174210597;100
05.03.2018 00:00;76,5317559549;100;52,377232067;100;169,3177551661;100;7,8186641319;100;5,4893743028;100
06.03.2018 00:00;75,2124349452;100;65,8590765371;100;180,7836771334;100;14,5401165083;100;9,8383565861;100
07.03.2018 00:00;69,8907745924;100;70,7447905028;100;177,5378940799;100;19,3844555222;100;15,7313391014;100
08.03.2018 00:00;94,8826279231;92;71,338816186;92;216,3194716524;92;20,0127759861;100;16,1204733903;100
09.03.2018 00:00;26,010970263;100;36,2434221088;100;75,9881846706;100;11,6891889958;100;9,7133432431;100
10.03.2018 00:00;22,7906223225;100;32,4184991474;100;67,2425700562;100;13,0270711153;100;10,2685314292;100
11.03.2018 00:00;12,9361002294;100;26,3720963677;100;46,1384575182;100;13,7479248507;100;11,8829268243;100
12.03.2018 00:00;17,9954633057;100;27,1780054198;100;54,6750733509;100;7,4967176861;100;5,510746459;100
13.03.2018 00:00;48,9311226952;100;50,9225535734;100;125,6893090517;100;8,8389613583;100;6,369524125;100
14.03.2018 00:00;41,5106647845;100;50,7537523018;100;114,1820480926;100;10,5378038986;100;6,7270928694;100
15.03.2018 00:00;40,3367138966;96;37,4222923087;96;99,0567911427;96;7,9956824215;100;4,0088617437;100
16.03.2018 00:00;36,8110630058;100;40,5140088964;100;96,7613131692;100;21,2994068153;100;4,8602263292;100
17.03.2018 00:00;19,4970714149;100;31,8925889234;100;61,6841140453;100;14,3768303396;100;4,7495567528;100
18.03.2018 00:00;4,1520818915;100;6,4766737162;100;12,8210548464;100;5,1842419764;100;2,4022887424;100
19.03.2018 00:00;34,475177;100;30,4091043739;100;83,0871748298;100;7,4282904472;100;2,8866795417;100
20.03.2018 00:00;22,969299018;100;28,843906219;100;63,9409951185;100;6,5636851049;100;2,5690208187;100
