Date,NO,NO2,NOx,PM10,PM2.5
2024-02-19,21.3191164543,47.9101577128,80.485767655,11.6951735417,9.1197128333
2024-02-20,36.5869443185,48.4472750832,104.3521260018,20.7959708333,14.3412741667
2024-02-21,28.7099657078,43.2290885398,87.0979161413,11.25747175,5.8095014583
2024-02-22,8.7846713615,16.7959895961,30.2189674365,4.7800456522,0.8983087391
2024-02-23,4.4206408797,11.082582214,17.8373214783,1.2194649167,0.1688852083
2024-02-24,1.9296302057,7.3554370985,10.3039120528,2.4449495417,0.01994125
2024-02-25,5.3342064048,17.1683416209,25.3190090074,15.1558227083,2.1201336667
2024-02-26,5.7871994387,22.6367174106,31.4795581529,6.12389525,2.299517375
2024-02-27,21.4002123851,30.5522515561,63.2517760805,18.6575400833,3.1839954583
2024-02-28,11.1617192351,27.3149691645,44.3700761558,33.8523092083,4.0130461667
2024-02-29,2.9076952015,10.1098034911,14.5527617589,23.800175125,2.3069452917
2024-03-01,5.1918159901,11.3082701484,19.2413649812,10.8385528333,1.388791125
2024-03-02,11.522412695,21.6199376828,39.2261842808,20.0331215833,4.42617125
2024-03-03,13.9330059697,23.611783852,44.9014169736,8.5765305833,5.0261575
2024-03-04,6.8089334176,15.4257904979,25.82984076,19.2461570417,7.4995399167
2024-03-05,12.6239483034,25.4194763321,44.7088693397,57.8678912083,8.1735789583
2024-03-06,31.5181162539,42.4082242899,90.5679059258,51.781113,8.2173845833
2024-03-07,11.9606740455,33.8579745223,52.1338844638,38.7141949583,6.660264
2024-03-08,,,,,
2024-03-09,3.4850785365,10.8384470555,16.1636470592,12.1148422917,5.1494080417
2024-03-10,3.5212171938,10.6814119735,16.0618318455,18.4566809167,1.5681920417
2024-03-11,12.8135095431,31.6494332926,51.2284758744,38.7356935833,5.7449851667
2024-03-12,17.782296322,39.4056971176,66.5770458976,48.9522176667,8.462979
2024-03-13,16.9221234083,28.3526176984,54.2096222664,27.5817571667,6.7515127083
2024-03-14,16.5388103846,22.472762058,47.7440643256,15.5356105,1.7206902917
2024-03-15,5.4812862141,12.3401858629,20.7155911981,5.6219055,1.7900685417
2024-03-16,3.6728107274,15.9408380737,21.5528928652,29.1291644583,4.3103204167
2024-03-17,3.043024833,9.7399050566,14.3896470014,26.0827892083,3.256111625
2024-03-18,4.3914454038,13.1898912277,19.9000198047,38.1412753333,3.2972676667
2024-03-19,11.0146524773,19.3366619619,36.1670509472,,
2024-03-20,8.1331067022,19.6372404838,32.0646275248,16.829410625,3.0655597083
2024-03-21,5.1790516475,14.8354334863,22.7490244036,19.8990449167,2.4487012083
2024-03-22,10.613551469,26.5483953382,42.7659019828,48.3866857917,5.2386494167
2024-03-23,5.1699374455,16.9931152712,24.8927796879,28.57265875,4.0734385833
2024-03-24,4.7781837906,13.6583883847,20.9594532167,15.0841530833,3.8051914583
2024-03-25,4.4157711156,16.1806865833,22.927984848,24.2206758261,4.2482043043
2024-03-26,4.3948085143,13.3338269403,20.0490943501,41.7853363333,5.9436977917
2024-03-27,6.4435895339,16.7926902849,26.6384950927,42.360759,5.8547975417
2024-03-28,3.6920273898,14.7916693014,20.433087153,46.718845625,8.6043884583
2024-03-29,2.4114851575,7.0130050045,10.6977543251,6.7594547083,3.2869198333
2024-03-30,5.1508847358,15.278834885,23.1493867613,36.7485944167,5.8749217083
2024-03-31,3.4352560741,12.6932535494,17.9423248306,12.459266375,3.2494697083
2024-04-01,4.1505832103,9.5678004393,15.9098915846,19.2784961667,4.947759875
2024-04-02,2.9075234729,9.3325410222,13.7752368888,9.0650384583,3.38530325
2024-04-03,3.4465745887,6.7759563172,12.0423222887,34.21719,4.5070197917
2024-04-04,2.4288516196,6.772631245,10.4839165197,50.751198625,4.9903485833
2024-04-05,6.9585052303,17.0867473119,27.7193433037,56.2489252917,7.3600884583
2024-04-06,3.7591001384,12.2997503736,18.0436553851,35.633869,5.5033816667
2024-04-07,5.028914948,16.1076979992,23.7918800397,6.58903375,2.9334208333
2024-04-08,16.4387301363,30.7189880745,55.8373677227,73.1362758333,9.336444875
2024-04-09,,,,,
2024-04-10,4.5574467087,13.3557579521,20.3195365231,6.35108675,1.6159775
2024-04-11,8.8375575624,21.8375414365,35.3413293919,5.8898547083,2.668984625
2024-04-12,11.7210040421,25.5395805959,43.4492747722,33.2021050833,6.7559729583
2024-04-13,4.3319989165,12.1254266013,18.7447209457,40.2658584167,5.132189375
2024-04-14,4.2451013234,10.0376723773,16.5241871995,10.3916998333,2.7320197083
2024-04-15,6.4897614597,17.5024332257,27.4187887361,35.58121325,4.064632
2024-04-16,,,,91.5231776667,9.969560375
2024-04-17,8.4988139929,20.4045341596,33.3907219408,40.140334625,4.6791315833
2024-04-18,4.2722342797,11.970089916,18.4980638953,24.2926827917,3.1421169583
2024-04-19,2.7774158405,8.8190845339,13.0629759382,22.6939976667,2.8877791667
2024-04-20,5.7598811625,16.0474896329,24.8485880491,31.70294375,4.4643405417
2024-04-21,2.1246849579,11.1140794431,14.3605980588,22.681584,4.9413941667
2024-04-22,8.3563272828,19.9523887777,32.7208568657,39.1113952917,5.419792875
2024-04-23,10.1206655227,17.6412602523,33.105637171,6.3133856667,1.8917955
2024-04-24,6.4176953181,16.8293923691,26.6356308151,17.43528425,3.4422845833
2024-04-25,6.885775934,16.530137377,27.0516030042,34.1389521667,4.849967875
2024-04-26,7.2202665463,15.8902301852,26.9227974679,25.3779285833,3.4721542917
2024-04-27,6.2658181819,16.4609470919,26.0351172738,31.8747177917,6.4435903333
2024-04-28,2.5837971426,7.7291116628,11.6771536968,22.22136125,3.79827925
2024-04-29,4.4861676203,11.8260070545,18.6808711784,24.8862160417,3.068323125
2024-04-30,11.9493573372,25.302673539,43.5612915502,41.7368989583,6.2104512917
2024-05-01,1.9532525645,8.5486764406,11.5332463592,18.6863880833,5.544245125
2024-05-02,6.709594357,19.0998247595,29.3520849371,39.3223141667,7.847903875
2024-05-03,5.9705013012,18.0258353906,27.1487613789,40.1036329167,9.2272417083
2024-05-04,4.1886047303,15.5472037606,21.9473917885,29.391457375,7.1507379583
2024-05-05,5.0365493049,18.5546069973,26.2504543353,23.2525972917,5.7323467917
2024-05-06,2.2596318973,7.4702176058,10.9229351448,34.75733975,6.1755974167
2024-05-07,8.0646480038,19.541887647,31.8646697968,23.9021889583,6.8703235
2024-05-08,,,,24.3160082917,5.3837615417
2024-05-09,3.9183598766,9.1264649884,15.1137188799,11.0125820417,4.333429375
2024-05-10,4.1235913489,12.1910761568,18.4919237378,24.8365945,4.7887086667
2024-05-11,6.8755029739,19.2870635542,29.7928320983,10.721649625,4.39498025
2024-05-12,4.4449469481,15.1026394586,21.8945183953,19.0769905833,9.6360439583
2024-05-13,8.2163749829,22.5004610774,35.0550820512,42.968850125,10.0500178333
2024-05-14,8.5055602756,26.7907983372,39.7872944382,50.044506875,10.7648190833
2024-05-15,8.4143903521,26.0886396592,38.9458281172,40.3745362917,10.5209443333
2024-05-16,8.9199628229,26.4608023348,40.0905055281,62.725030625,12.2273972917
2024-05-17,3.4285391186,12.2717114382,17.5105192113,34.5652130417,7.7998420417
2024-05-18,2.2799037867,9.2438254593,12.7275184453,26.780537875,8.9803728333
2024-05-19,3.1193605166,8.1419879324,12.9083708017,12.10281125,2.8421490833
2024-05-20,1.5635748556,7.626384603,10.0155269824,11.3687100833,3.0553485417
2024-05-21,10.0416412987,23.2590071297,38.602635034,27.9010805,5.9975670833
2024-05-22,6.3545303671,15.4848716195,25.1945940205,28.64845675,7.49542425
2024-05-23,3.1265548142,13.6476259642,18.4250017203,30.7296765417,7.0814101667
2024-05-24,6.9309110984,18.794873058,29.3853052164,34.2007929583,10.2313383333
2024-05-25,7.2314501439,23.4178039469,34.4674597667,31.388736875,10.0702720417
2024-05-26,2.2484424641,12.1303455204,15.5659656055,23.2076555,10.3147698333
2024-05-27,2.2543907471,9.5258961383,12.9706051999,22.6002691667,7.2123470833
2024-05-28,4.3302859926,13.8558863873,20.4725633839,14.4309589583,4.425978
2024-05-29,3.3775056444,10.6442373078,15.8050659324,18.0180610417,5.8019642083
2024-05-30,6.8861595786,16.7089984581,27.2310502941,21.3616469167,6.5872784167
2024-05-31,6.5722398909,13.7908634447,23.833245998,19.266456,6.1982525
2024-06-01,3.2287746252,11.2079589322,16.1415265595,16.1377298333,6.8344639583
2024-06-02,0.2453260716,8.401111744,8.7759699814,14.9750797083,7.9047302917
2024-06-03,5.4481787414,19.0621265726,27.3869436895,13.4202858333,5.7052109167
2024-06-04,-0.2813254283,9.8110942272,9.3812289728,12.068750375,3.9340679583
2024-06-05,,,,4.5715212083,2.4858104167
2024-06-06,,,,13.4100381667,3.1587019167
2024-06-07,,,,14.7828875833,2.8177950417
2024-06-08,,,,7.4062527083,2.2482944167
2024-06-09,,,,4.13290275,1.7861235833
2024-06-10,,,,3.797958875,2.0467394583
2024-06-11,,,,13.94680275,2.3833023333
2024-06-12,,,,13.37228975,2.96919775
2024-06-13,,,,16.2370295,3.6214747917
2024-06-14,,,,19.74857325,4.160901
2024-06-15,,,,12.4336664583,4.1615352083
2024-06-16,,,,8.88681325,3.2574241667
2024-06-17,,,,13.905071375,3.2734556667
2024-06-18,6.6944748951,13.2675146949,23.4966723346,15.8090760833,5.4234958333
2024-06-19,7.799592959,9.793582997,21.7113610383,9.236465375,2.2581359167
2024-06-20,7.5758252649,11.2326613601,22.8085223649,14.3001497083,4.06087675
2024-06-21,6.5924420651,10.9415777874,21.0148292629,7.3194549583,3.7520859583
2024-06-22,6.4397446287,10.1388365084,19.978766301,10.649806,4.2676386667
2024-06-23,3.6930485739,5.9473374561,11.590315677,11.3518719583,5.2698883333
2024-06-24,6.0576087224,12.219271624,21.4752977518,17.9018211667,6.5385875
2024-06-25,9.2402171823,13.3513310168,27.4703828714,18.7800203333,7.6046453333
2024-06-26,10.186352959,14.938718162,30.5034654834,10.5422892083,3.4684654167
2024-06-27,8.2035639373,14.1759788027,26.7110244988,20.6079864167,7.21366175
2024-06-28,4.7163621917,13.0834785512,20.2900799802,16.7685577917,8.9467297917
2024-06-29,5.7166793895,9.5189704193,18.2540565265,10.8468947083,4.3577845
2024-06-30,4.1229827954,8.2938563956,14.5937741069,9.364325875,3.8571049583
2024-07-01,7.4702487509,11.5766356874,22.9911757788,7.250805875,2.3203519583
2024-07-02,6.1427935804,11.4143041662,20.800492757,9.616553375,2.734913625
2024-07-03,4.8453235181,10.5125287706,17.9161831062,12.6981477917,4.5990880417
2024-07-04,3.9963733435,7.9883948288,14.0948532977,10.4064420417,2.988583375
2024-07-05,5.7547835794,11.5036837191,20.2969930284,6.7579754583,2.4665681667
2024-07-06,3.5711681639,8.2189322307,13.6756771852,6.0379801667,2.6628850833
2024-07-07,3.4824822464,7.0959283576,12.4171612301,5.9119995,3.1506389167
2024-07-08,3.8980797658,10.694404856,16.6506707382,7.357184375,3.9672852083
2024-07-09,4.7544615952,11.6145762035,18.879393521,8.108368375,3.2748211667
2024-07-10,,,,8.723860125,3.1987948333
2024-07-11,6.3254812443,11.7905401857,21.455875527,9.6068152083,2.9495125417
2024-07-12,4.0552012204,11.0917808663,17.2881283311,10.488453375,3.4680325417
2024-07-13,2.6973371398,9.4211258702,13.5426570199,10.2626084583,4.6997626667
2024-07-14,3.1934040828,11.1431669225,16.022688361,9.51765825,5.2664474167
2024-07-15,1.7686530071,6.411693388,9.1141951828,8.2150239583,3.2831487083
2024-07-16,3.2276545579,12.3654139959,17.2972701605,10.077506,3.5058
2024-07-17,5.2496280715,10.6050859288,18.626517622,12.92241675,4.381378875
2024-07-18,5.3583314906,10.2098539154,18.397384433,4.4024815,2.8691551667
2024-07-19,4.4778670062,9.7620948543,16.6042756397,8.0247450833,3.3625100833
2024-07-20,3.356888816,9.9803525011,15.1096786119,9.8653889167,4.57596725
2024-07-21,0.7655261173,6.2994059065,7.4691298136,10.62999025,5.3529528333
2024-07-22,3.4438849878,11.1426939865,16.4049502479,4.3916996667,2.4747480833
2024-07-23,7.2346787347,13.3793291799,24.4339182864,6.3122325417,2.7879042083
2024-07-24,7.074325244,12.0433193499,22.8528883227,,
2024-07-25,5.0080608648,11.2288503874,18.8811673888,11.2114020417,4.961432125
2024-07-26,3.9167148252,10.6275602883,16.6123005412,10.7886135417,3.3361307083
2024-07-27,4.0792089985,9.4308235047,15.6638548544,7.825137375,2.927603375
2024-07-28,2.9667312175,6.6319681097,11.16513341,7.8100929167,2.887190625
2024-07-29,4.5105935921,11.6625358541,18.5547228628,7.970322625,2.7347572083
2024-07-30,4.9996017236,10.2580481368,17.8974395705,10.0171302083,4.36846475
2024-07-31,,,,9.0841777083,3.6472264583
2024-08-01,6.7851526861,14.6114198304,24.9791331347,11.3079695417,3.7713391667
2024-08-02,6.6853454598,11.3296457477,21.5448536103,10.331561625,4.2974474167
2024-08-03,5.4620714493,9.1411483585,17.4871935331,8.34996875,3.5387194583
2024-08-04,3.2872174211,8.1079587408,13.1308269601,9.8237110417,5.2069606667
2024-08-05,9.4001471299,15.7918692802,30.1552940948,15.6236944583,6.698670125
2024-08-06,6.6621882218,16.642357335,26.8221809379,15.7407427083,6.372600125
2024-08-07,1.9658956514,6.4704160957,9.474304651,14.401121625,5.5246363333
2024-08-08,6.3641756074,12.2247020431,21.9491623712,11.36880225,4.3854585
2024-08-09,6.1293619012,11.266587651,20.632252636,8.94366625,2.4847345417
2024-08-10,4.5124378722,7.0832871717,13.9782922404,5.309858875,1.9066299167
2024-08-11,2.7403598966,3.4834844113,7.6707543333,3.7832929583,1.7654757917
2024-08-12,7.8930488787,11.8259524881,23.8865311748,8.573939625,2.225037375
2024-08-13,12.9260462883,16.7960919508,36.5470906793,13.115785125,4.1345233333
2024-08-14,7.4885321045,13.2132451162,24.6557221719,12.0740321667,4.0519135833
2024-08-15,7.913628419,12.9944071751,25.0864313993,10.77135875,4.563694375
2024-08-16,5.1549461204,10.584699083,18.4614567549,9.891919875,3.2925005417
2024-08-17,5.2363055686,10.4824330997,18.4835080085,7.55006625,2.7791835833
2024-08-18,5.0830514411,13.5635848531,21.3304874552,5.32991225,2.9196296667
2024-08-19,6.276760547,11.552974513,21.1438646289,7.4683086667,2.7357813333
2024-08-20,3.8811557987,9.6038829048,15.5342889652,9.034529125,4.357141375
2024-08-21,8.9220320306,20.7180688633,34.350933806,6.26216275,3.0875925
2024-08-22,,,,,
2024-08-23,6.8705571521,14.1898389142,24.6880502426,7.0432695,3.1026241667
2024-08-24,6.0023872568,10.4829286492,19.6545763776,9.9448597917,3.3025554167
2024-08-25,3.7007738857,9.7993466047,15.454129102,7.5387877917,2.5668328333
2024-08-26,6.1946805604,10.5496411968,20.0151130931,8.515751,2.9209045417
2024-08-27,5.0181226876,10.2991870654,17.9668785321,11.3547432083,4.4335814583
2024-08-28,,,,15.791906375,5.548741875
2024-08-29,8.2880176787,19.7455295083,32.4096205214,18.4890365417,10.0081495833
2024-08-30,8.9780040522,18.1461983152,31.864588507,6.945179125,3.2247654583
2024-08-31,5.5212341831,10.0518007343,18.488246566,6.3237305417,2.5537999167
2024-09-01,3.7686381141,11.5100192669,17.2684983053,12.632891375,6.5193294167
2024-09-02,7.994905252,9.1491250878,21.3653403128,10.5359945417,3.9588580833
2024-09-03,5.801662345,13.3869417978,22.251881861,6.98083975,1.8959159167
2024-09-04,12.1357587469,18.9237934176,37.4672327829,13.3153246667,6.1174180833
2024-09-05,11.2586721698,20.8743951153,38.0776461907,20.4185717917,7.1674239167
2024-09-06,16.3080232884,22.6234843696,47.5421439543,27.6280789583,10.9752449167
2024-09-07,5.6281161479,15.7284245548,24.3281860289,27.341318,15.106829875
2024-09-08,6.4824604321,16.6353360228,26.5405355631,23.5579404167,11.913801375
2024-09-09,,,,15.1483345,8.962552375
2024-09-10,,,,1.7683902917,0.12523225
2024-09-11,,,,7.9884602083,2.0076041667
2024-09-12,6.4574603724,10.6249743073,20.4919737563,5.7972478333,1.2430858333
