Date,temperature (C),wind_speed (m/s),precipitation (mm)
2024-01-01,-4.9,2.4,0.0
2024-01-02,-8.2,3.8,0.0
2024-01-03,-10.0,2.3,0.0
2024-01-04,-11.6,1.5,0.0
2024-01-05,-10.4,1.5,0.0
2024-01-06,-7.7,1.6,0.5
2024-01-07,-9.9,2.9,0.0
2024-01-08,1.5,3.2,0.0
2024-01-09,3.5,4.3,4.6
2024-01-10,3.8,4.8,1.8
2024-01-11,4.1,3.9,5.2
2024-01-12,3.6,5.1,0.9
2024-01-13,2.5,2.8,3.7
2024-01-14,-2.1,2.5,14.1
2024-01-15,-8.7,1.8,7.2
2024-01-16,-10.2,3.1,0.0
2024-01-17,-13.4,1.2,0.0
2024-01-18,-13.5,1.3,0.0
2024-01-19,-10.6,1.0,0.0
2024-01-20,-8.3,1.8,0.0
2024-01-21,0.9,3.7,0.0
2024-01-22,4.8,4.0,0.0
2024-01-23,2.8,2.9,2.1
2024-01-24,2.6,2.2,2.8
2024-01-25,2.3,2.1,8.8
2024-01-26,3.6,4.5,0.2
2024-01-27,3.8,3.5,1.4
2024-01-28,6.4,3.9,2.2
2024-01-29,5.7,6.1,0.8
2024-01-30,-0.3,2.7,0.0
2024-01-31,2.8,5.7,0.0
2024-02-01,0.9,7.6,4.0
2024-02-02,3.1,4.6,6.9
2024-02-03,1.6,9.0,27.1
2024-02-04,-1.6,3.7,8.8
2024-02-05,-2.7,2.7,3.5
2024-02-06,-6.8,1.3,0.5
2024-02-07,-10.3,2.8,0.0
2024-02-08,-7.7,3.7,0.0
2024-02-09,-7.6,2.5,0.0
2024-02-10,-9.2,1.9,0.0
2024-02-11,-5.0,2.2,0.0
2024-02-12,-2.0,2.8,0.0
2024-02-13,-3.4,2.1,0.0
2024-02-14,-3.3,1.2,0.0
2024-02-15,0.1,1.6,0.5
2024-02-16,1.4,1.9,0.0
2024-02-17,-0.5,2.5,1.0
2024-02-18,-4.2,1.1,4.9
2024-02-19,-5.5,0.7,0.0
2024-02-20,-0.1,1.2,0.7
2024-02-21,3.2,2.1,1.6
2024-02-22,6.0,4.4,0.0
2024-02-23,5.6,3.9,0.0
2024-02-24,5.1,4.4,0.5
2024-02-25,4.2,3.3,0.0
2024-02-26,1.8,2.5,1.2
2024-02-27,1.0,2.3,0.0
2024-02-28,4.9,3.4,0.0
2024-02-29,7.0,6.3,0.0
2024-03-01,7.3,4.5,0.0
2024-03-02,6.5,2.1,0.0
2024-03-03,6.2,1.6,0.0
2024-03-04,6.5,2.1,0.0
2024-03-05,4.2,1.8,0.0
2024-03-06,0.7,1.3,0.0
2024-03-07,1.3,1.8,0.0
2024-03-08,0.6,1.5,0.0
2024-03-09,0.6,2.4,0.0
2024-03-10,-0.7,2.0,0.0
2024-03-11,-1.2,2.1,0.0
2024-03-12,-0.8,0.9,0.0
2024-03-13,2.5,2.4,0.0
2024-03-14,6.2,4.3,1.7
2024-03-15,3.6,4.2,0.0
2024-03-16,0.2,2.5,0.2
2024-03-17,0.4,2.3,0.0
2024-03-18,4.2,2.8,0.0
2024-03-19,5.5,3.1,0.0
2024-03-20,4.5,2.3,0.3
2024-03-21,4.5,3.2,0.5
2024-03-22,5.3,2.4,2.0
2024-03-23,3.3,1.8,0.0
2024-03-24,0.8,1.6,0.0
2024-03-25,-0.2,1.4,0.7
2024-03-26,-0.8,1.6,0.0
2024-03-27,4.5,2.2,0.0
2024-03-28,6.5,1.6,0.0
2024-03-29,5.4,2.0,2.9
2024-03-30,6.1,1.5,0.6
2024-03-31,4.1,1.6,0.0
2024-04-01,3.4,1.8,10.0
2024-04-02,-0.4,2.9,1.8
2024-04-03,-3.6,3.0,3.0
2024-04-04,-2.3,3.5,0.0
2024-04-05,0.2,2.6,0.0
2024-04-06,2.3,2.6,0.0
2024-04-07,7.8,2.5,0.9
2024-04-08,7.8,1.7,1.8
2024-04-09,9.0,1.8,0.0
2024-04-10,5.5,3.9,8.8
2024-04-11,5.0,2.6,9.1
2024-04-12,9.1,2.3,10.6
2024-04-13,8.2,2.6,0.9
2024-04-14,3.1,3.1,0.2
2024-04-15,2.5,2.2,3.9
2024-04-16,2.2,1.5,0.5
2024-04-17,3.0,1.9,0.0
2024-04-18,4.0,2.3,1.6
2024-04-19,4.3,2.8,0.0
2024-04-20,3.5,2.0,0.0
2024-04-21,4.3,1.9,0.3
2024-04-22,3.6,1.9,0.0
2024-04-23,3.0,2.9,0.9
2024-04-24,2.6,2.0,0.9
2024-04-25,4.6,1.9,0.7
2024-04-26,6.2,2.3,0.0
2024-04-27,4.9,1.4,0.0
2024-04-28,6.6,2.4,0.0
2024-04-29,8.4,2.7,0.1
2024-04-30,9.9,1.5,4.8
2024-05-01,13.1,2.1,0.0
2024-05-02,14.1,1.5,0.0
2024-05-03,13.6,1.4,0.0
2024-05-04,13.3,1.9,0.0
2024-05-05,12.4,2.1,0.0
2024-05-06,10.7,2.8,0.0
2024-05-07,7.9,1.4,0.0
2024-05-08,8.6,1.9,5.4
2024-05-09,6.7,2.4,0.1
2024-05-10,6.9,1.9,4.4
2024-05-11,8.7,1.2,0.0
2024-05-12,14.5,2.1,3.7
2024-05-13,16.8,1.5,0.0
2024-05-14,18.5,2.0,0.1
2024-05-15,17.4,1.8,0.0
2024-05-16,18.2,1.6,0.0
2024-05-17,19.0,2.5,0.0
2024-05-18,14.1,2.4,0.0
2024-05-19,8.0,3.1,2.4
2024-05-20,9.2,2.0,0.1
2024-05-21,15.4,1.4,0.0
2024-05-22,19.9,2.2,0.1
2024-05-23,21.9,3.3,0.0
2024-05-24,19.9,2.1,0.0
2024-05-25,19.5,2.3,0.0
2024-05-26,22.8,2.5,0.0
2024-05-27,20.9,3.1,0.6
2024-05-28,17.2,2.3,0.1
2024-05-29,17.5,2.9,0.0
2024-05-30,16.2,1.5,0.1
2024-05-31,14.2,2.2,0.2
2024-06-01,12.5,1.7,0.0
2024-06-02,12.7,1.7,0.0
2024-06-03,10.0,1.7,3.1
2024-06-04,13.6,3.4,11.8
2024-06-05,8.4,2.3,1.2
2024-06-06,9.3,1.8,24.5
2024-06-07,11.0,2.1,4.8
2024-06-08,12.7,2.1,0.0
2024-06-09,11.5,3.4,2.2
2024-06-10,8.7,2.7,2.1
2024-06-11,9.1,3.1,35.2
2024-06-12,10.3,2.5,0.1
2024-06-13,14.3,2.4,0.0
2024-06-14,15.2,2.0,4.0
2024-06-15,16.6,2.2,0.1
2024-06-16,16.2,2.1,0.1
2024-06-17,17.1,2.2,0.1
2024-06-18,14.8,2.3,0.0
2024-06-19,10.3,3.5,0.1
2024-06-20,10.4,3.4,0.7
2024-06-21,11.3,1.9,3.5
2024-06-22,16.7,1.7,0.8
2024-06-23,13.4,2.0,1.3
2024-06-24,14.1,2.0,0.4
2024-06-25,17.1,2.0,0.0
2024-06-26,14.2,1.7,3.6
2024-06-27,22.8,2.5,0.3
2024-06-28,18.4,2.3,0.0
2024-06-29,12.4,2.2,9.5
2024-06-30,13.0,1.5,9.1
2024-07-01,10.4,2.1,8.4
2024-07-02,10.2,2.1,3.9
2024-07-03,12.0,2.0,2.0
2024-07-04,15.7,2.1,0.0
2024-07-05,12.2,1.6,0.6
2024-07-06,12.3,1.8,7.5
2024-07-07,11.7,2.2,3.0
2024-07-08,13.0,1.7,11.2
2024-07-09,12.9,1.4,3.7
2024-07-10,14.1,1.8,7.1
2024-07-11,15.7,2.3,6.3
2024-07-12,15.4,1.6,0.1
2024-07-13,17.7,1.6,0.0
2024-07-14,17.7,2.1,0.1
2024-07-15,19.7,2.6,3.0
2024-07-16,19.2,1.8,0.0
2024-07-17,17.3,2.3,1.1
2024-07-18,12.9,2.4,13.0
2024-07-19,15.3,1.5,5.4
2024-07-20,18.3,1.6,0.0
2024-07-21,23.5,3.3,0.0
2024-07-22,15.4,1.7,1.1
2024-07-23,12.9,1.9,35.5
2024-07-24,14.0,1.2,5.3
2024-07-25,15.0,1.5,0.0
2024-07-26,17.2,2.3,0.0
2024-07-27,15.1,2.0,2.0
2024-07-28,13.8,2.4,0.1
2024-07-29,14.0,1.7,1.9
2024-07-30,15.5,2.0,0.0
2024-07-31,12.9,2.7,17.1
2024-08-01,13.4,1.7,1.3
2024-08-02,13.5,1.8,0.0
2024-08-03,16.9,1.7,0.0
2024-08-04,18.3,1.6,0.2
2024-08-05,18.9,1.9,0.9
2024-08-06,21.7,1.5,0.0
2024-08-07,21.3,3.6,0.0
2024-08-08,17.5,2.0,1.2
2024-08-09,14.9,2.1,0.0
2024-08-10,14.5,2.6,22.9
2024-08-11,11.5,5.8,15.5
2024-08-12,12.1,3.2,3.8
2024-08-13,17.3,1.8,0.0
2024-08-14,18.4,2.6,0.0
2024-08-15,15.6,1.1,1.3
2024-08-16,13.9,2.4,5.1
2024-08-17,12.8,1.6,0.1
2024-08-18,10.8,1.7,2.9
2024-08-19,12.3,2.3,12.0
2024-08-20,16.4,3.8,0.3
2024-08-21,13.0,1.7,6.5
2024-08-22,13.5,2.3,8.8
2024-08-23,12.8,2.2,3.2
2024-08-24,13.8,2.3,14.8
2024-08-25,13.9,1.5,0.0
2024-08-26,12.1,3.5,2.1
2024-08-27,13.1,2.6,0.7
2024-08-28,17.3,2.0,0.9
2024-08-29,18.0,3.1,0.0
2024-08-30,12.6,1.7,2.3
2024-08-31,10.7,2.5,5.4
2024-09-01,11.1,1.7,0.8
2024-09-02,13.7,2.0,0.0
2024-09-03,16.0,3.5,0.0
2024-09-04,17.6,1.5,4.4
2024-09-05,17.0,1.1,0.0
2024-09-06,18.4,0.9,0.0
2024-09-07,17.9,1.7,0.0
2024-09-08,18.8,2.1,0.0
2024-09-09,17.4,2.4,0.8
2024-09-10,9.6,2.7,43.7
2024-09-11,13.2,3.9,10.4
2024-09-12,11.1,3.6,0.0
2024-09-13,8.1,1.9,3.8
2024-09-14,7.7,1.8,0.0
2024-09-15,12.4,1.2,0.0
2024-09-16,11.8,1.2,0.0
2024-09-17,12.7,1.3,0.8
2024-09-18,12.5,1.7,0.0
2024-09-19,13.5,1.4,0.0
2024-09-20,10.7,1.4,0.0
2024-09-21,8.6,1.5,0.0
2024-09-22,6.6,1.1,0.0
2024-09-23,7.6,1.2,1.7
2024-09-24,6.8,1.8,0.7
2024-09-25,6.4,2.7,6.4
2024-09-26,6.9,2.4,22.1
2024-09-27,5.9,1.8,9.5
2024-09-28,3.4,3.3,0.4
2024-09-29,3.0,3.6,12.4
2024-09-30,5.7,1.2,2.5
2024-10-01,8.6,1.9,0.8
2024-10-02,6.9,2.5,0.3
2024-10-03,8.3,3.0,2.3
2024-10-04,7.4,1.6,0.7
2024-10-05,6.1,1.2,8.7
2024-10-06,5.8,1.4,14.3
2024-10-07,5.9,2.3,2.3
