Det gjennomfoeres kvalitetskontroll av luftkvalitetsdata.QC-flagg viser hvilket nivaa av kvalitetskontroll dataene har vaert gjennom.QC=1 (Raadata) QC = 2(Automatisk kontrollerte data) QC= 3(Skalerte data) QC= 4(Kvalitetssikrede data / Godkjente data)
Ved kvalitetskontroll flagges verdier som gyldige eller ugyldige(f.eks ved instrumentfeil).QA = 0(Gyldig verdi) QA = 1(Ugyldig verdi)
Data er hentet fra loesningen https://luftkvalitet.nilu.no 
Tid;Elgeseter NO µg/m³ Day;Dekning;Elgeseter NO2 µg/m³ Day;Dekning;Elgeseter NOx µg/m³ Day;Dekning;Elgeseter PM10 µg/m³ Day;Dekning;Elgeseter PM2.5 µg/m³ Day;Dekning
19.02.2024 00:00;21,3191164543;100;47,9101577128;100;80,485767655;100;11,6951735417;100;9,1197128333;100
20.02.2024 00:00;36,5869443185;100;48,4472750832;100;104,3521260018;100;20,7959708333;100;14,3412741667;100
21.02.2024 00:00;28,7099657078;100;43,2290885398;100;87,0979161413;100;11,25747175;100;5,8095014583;100
22.02.2024 00:00;8,7846713615;100;16,7959895961;100;30,2189674365;100;4,7800456522;96;0,8983087391;96
23.02.2024 00:00;4,4206408797;100;11,082582214;100;17,8373214783;100;1,2194649167;100;0,1688852083;100
24.02.2024 00:00;1,9296302057;100;7,3554370985;100;10,3039120528;100;2,4449495417;100;0,01994125;100
25.02.2024 00:00;5,3342064048;100;17,1683416209;100;25,3190090074;100;15,1558227083;100;2,1201336667;100
26.02.2024 00:00;5,7871994387;100;22,6367174106;100;31,4795581529;100;6,12389525;100;2,299517375;100
27.02.2024 00:00;21,4002123851;96;30,5522515561;96;63,2517760805;96;18,6575400833;100;3,1839954583;100
28.02.2024 00:00;11,1617192351;100;27,3149691645;100;44,3700761558;100;33,8523092083;100;4,0130461667;100
29.02.2024 00:00;2,9076952015;100;10,1098034911;100;14,5527617589;100;23,800175125;100;2,3069452917;100
01.03.2024 00:00;5,1918159901;100;11,3082701484;100;19,2413649812;100;10,8385528333;100;1,388791125;100
